StartTime: 2021-12-24 17:37:29.399
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:37:29.399	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7745	-0.0055	0.00
0x50	 17:37:29.399	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.9025	-0.0110	0.00
0x50	 17:37:29.497	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	81.7712	0.0055	0.00
0x50	 17:37:29.498	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7361	-0.0055	0.00
0x50	 17:37:29.498	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.9025	-0.0110	0.00
0x50	 17:37:29.598	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	80.4803	0.0055	0.00
0x50	 17:37:29.598	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.6976	-0.0055	0.00
0x50	 17:37:29.598	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.9025	-0.0110	0.00
0x50	 17:37:29.697	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	81.8811	0.0055	0.00
0x50	 17:37:29.698	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.6592	-0.0055	0.00
0x50	 17:37:29.698	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.9025	-0.0110	0.00
0x50	 17:37:29.797	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	65.0500	0.0055	0.00
0x50	 17:37:29.841	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.6262	-0.0055	0.00
0x50	 17:37:29.841	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8860	-0.0110	0.00
0x50	 17:37:29.899	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	67.0386	0.0055	0.00
0x50	 17:37:29.899	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.8512	-0.0055	0.00
0x50	 17:37:29.899	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7542	-0.0110	0.00
0x50	 17:37:30.045	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	73.1635	0.0055	0.00
0x50	 17:37:30.045	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.7633	-0.0055	0.00
0x50	 17:37:30.045	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7761	-0.0110	0.00
0x50	 17:37:30.097	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	68.5492	0.0055	0.00
0x50	 17:37:30.098	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.6754	-0.0055	0.00
0x50	 17:37:30.098	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7706	-0.0110	0.00
0x50	 17:37:30.197	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	73.6523	0.0055	0.00
0x50	 17:37:30.233	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.5930	-0.0055	0.00
0x50	 17:37:30.234	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7871	-0.0110	0.00
0x50	 17:37:30.297	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	68.7469	0.0055	0.00
0x50	 17:37:30.298	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.5161	-0.0055	0.00
0x50	 17:37:30.298	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7816	-0.0110	0.00
0x50	 17:37:30.435	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	74.5642	0.0055	0.00
0x50	 17:37:30.435	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.4392	-0.0055	0.00
0x50	 17:37:30.435	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8036	-0.0110	0.00
0x50	 17:37:30.497	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	77.2339	0.0055	0.00
0x50	 17:37:30.499	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.3678	-0.0055	0.00
0x50	 17:37:30.499	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8146	-0.0110	0.00
0x50	 17:37:30.626	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	73.4985	0.0055	0.00
0x50	 17:37:30.626	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.3074	-0.0055	0.00
0x50	 17:37:30.626	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8091	-0.0110	0.00
0x50	 17:37:30.697	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	78.2007	0.0055	0.00
0x50	 17:37:30.698	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.2415	-0.0055	0.00
0x50	 17:37:30.698	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8201	-0.0110	0.00
0x50	 17:37:30.823	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	85.9406	0.0055	0.00
0x50	 17:37:30.823	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.1865	-0.0055	0.00
0x50	 17:37:30.823	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8420	-0.0110	0.00
0x50	 17:37:30.897	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	74.3610	0.0055	0.00
0x50	 17:37:30.898	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.1316	-0.0055	0.00
0x50	 17:37:30.898	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8201	-0.0110	0.00
0x50	 17:37:31.013	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	77.5415	0.0055	0.00
0x50	 17:37:31.013	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.3346	-0.0055	0.00
0x50	 17:37:31.013	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7157	-0.0110	0.00
0x50	 17:37:31.099	-4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	83.6005	0.0055	0.00
0x50	 17:37:31.099	-4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.2302	-0.0055	0.00
0x50	 17:37:31.099	-4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7487	-0.0110	0.00
