StartTime: 2021-12-24 18:35:41.489
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 18:35:41.489	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4476	-0.0110	0.00	1033	0	0
0x50	 18:35:41.589	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4476	-0.0110	0.00	1034	0	0
0x50	 18:35:41.706	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4476	-0.0110	0.00	1035	0	0
0x50	 18:35:41.788	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4476	-0.0110	0.00	1036	0	0
0x50	 18:35:41.889	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.3762	-0.0110	0.00	1037	0	0
0x50	 18:35:41.989	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.3707	-0.0110	0.00	1038	0	0
0x50	 18:35:42.116	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.3817	-0.0110	0.00	1039	0	0
0x50	 18:35:42.189	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.3927	-0.0110	0.00	1040	0	0
0x50	 18:35:42.289	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4037	-0.0110	0.00	1041	0	0
0x50	 18:35:42.389	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4037	-0.0110	0.00	1042	0	0
0x50	 18:35:42.489	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4147	-0.0110	0.00	1043	0	0
0x50	 18:35:42.589	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4037	-0.0110	0.00	1044	0	0
0x50	 18:35:42.689	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.3982	-0.0110	0.00	1045	0	0
0x50	 18:35:42.788	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4202	-0.0110	0.00	1046	0	0
0x50	 18:35:42.928	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4202	-0.0110	0.00	1047	0	0
0x50	 18:35:42.989	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4202	-0.0110	0.00	1048	0	0
0x50	 18:35:43.089	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-79.4257	-0.0110	0.00	1049	0	0
