In 2023-07-12 17:48:58.064604time send(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is 0xAAAAx0m001230456s3000
In 2023-07-12 17:48:58.220367time receiverd(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is ok
In 2023-07-12 17:48:58.744994time send(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is 0xAAAAx0m001230456s3000
In 2023-07-12 17:48:58.900413time receiverd(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is ok
In 2023-07-12 17:49:00.992280time send(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is 0xAAAAx0m001230456s3000
In 2023-07-12 17:49:01.148361time receiverd(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is ok
In 2023-07-12 17:49:01.832935time send(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is 0xAAAAx0m001230456s3000
In 2023-07-12 17:49:01.988778time receiverd(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is ok
In 2023-07-12 17:49:58.591965time send(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is 0xAAAAx0m001230456s3000
In 2023-07-12 17:49:58.748450time receiverd(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is ok
In 2023-07-12 17:49:58.759473time send(<socket.socket fd=352, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.102', 10006), raddr=('192.168.1.101', 21019)>, ('192.168.1.101', 21019)) data is 0xAAAAx0m001230456s3000
