In 2023-06-30 13:06:09.733222time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:06:09.903243time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
In 2023-06-30 13:06:10.484239time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:06:10.624000time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
In 2023-06-30 13:06:11.387374time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:06:11.513313time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
In 2023-06-30 13:07:08.671233time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:07:08.810131time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
In 2023-06-30 13:07:09.103142time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:07:09.241322time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
In 2023-06-30 13:07:09.411327time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:07:09.564962time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
In 2023-06-30 13:07:09.739172time receiverd(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is Data from TCP_Client mode
In 2023-06-30 13:07:09.880793time send(<socket.socket fd=728, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.1.101', 10006), raddr=('192.168.1.100', 10006)>, ('192.168.1.100', 10006)) data is da
